PaperIdentifier,RecipeText,TargetChemical
Growth of single crystals from metallic fluxes,"There are several general techniques for the growth of single crystals from metallic fluxes. The basic criteria that distinguish one from another are either the required operating temperatures or the method of extracting the crystals from the flux. For temperatures below 1200°C, sealing of the crucible in a quartz ampule is advantageous, since it provides a protective environment for the sample growth, contains volatile materials and, as will be discussed below, allows for an extremely simple removal of the crystals from the flux via centrifugal force: spinning off the flux. For temperatures over 1200°C or volumes greater than 5ml, sealing the materials in quartz is no longer practical, and protective atmospheres must be provided in other ways. Even so, molten flux can, in some cases, still be removed via spinning, if the spinning temperature is below 900°C, the highest practical temperature, in our opinion, for spinning in an unheated centrifuge. The most common method of maintaining the proper crystal growth environment is to seal the materials into a quartz ampoule. The starting materials are placed in a crucible inert to the melt, with materials having the higher melting temperatures on the bottom. As the low-melting materials melt they flow over the higher-melting materials and start incorporating them into the melt. The crucible itself is placed in a sealed evacuated quartz ampoule and slightly elevated off the bottom of the tube by shards of quartz. This is to avoid cracking the quartz tube as a result of differential expansion between the tube and the crucible. Finally, there is a plug of quartz wool above the crucible that acts as the filter during flux removal. After the crystals are grown, but at temperatures still above the melting point of the flux, the ampoule is taken out of the furnace, inverted in the cup of a centrifuge and quickly spun. This forces the still-liquid flux through the quartz wool and leaves the crystals in the crucible. If there is reason to believe that there may be a seeding problem caused by the presence of the quartz wool dust, then the crystals can be grown in the ampoule without the wool and subsequently sealed in another tube with quartz wool and heated to the desired spin-off temperature. Another method of removing crystals from the flux involves chemically etching the solid flux away from the crystals, but this places a stringent requirement on the etchant; it must attack the flux much more quickly than it does the crystals. This is the case for many Al flux growths, since Al can be eaten away by NaOH solution, which often does not attack the desired materials. Other examples where this works are the cases of the R,Pt,Ga,-Ga, CeCu,Ge,-In and YbCu,Si,-In growths. The Ga and In can be eaten by concentrated HCl which does not attack the crystals. Unfortunately, it is often the case that the solvents that will attack the flux also attack the crystals with an equal or greater enthusiasm. This is the case with RSb-Ga growths. Etching away the flux can also sometimes be achieved through electrolytic erosion. Finally, there is always the option of mechanically removing the crystals from the solidified flux. This is not the preferred route, since it is time consuming. In this paper we shall concentrate primarily on the materials that can be removed either via spinning off the flux or by chemical etching.",single crystals of intermetallic compounds
Aluminum p-type doping of silicon carbide crystals using a modified physical vapor transport growth method,"We report the development of a modified physical vapor transport (PVT) growth setup for the improved aluminum p-type doping of silicon carbide (SiC) single crystals. Usually aluminum doping of SiC is carried out by adding the dopant to the SiC powder source material. However, due to aluminum source depletion a strong exponential decrease of the dopant incorporation with increasing process time is observed. In addition, often defect generation takes place due to a high initial aluminum sublimation rate. In order to improve the aluminum supply we have installed an additional gas pipe which provides a continuous flux of aluminum atoms out of an external reservoir into the growth cell. We will discuss the influence of the additional gas flow on the thermal field and mass transport inside the growth cell. Technological steps will be pointed out which were necessary to establish crystal growth with structural properties comparable to the conventional PVT process. With the modified PVT method high quality SiC single crystals with an improved axial and lateral aluminum doping homogeneity were grown (4H-SiC: 2/C21016 cm/C03opo4/C21016 cm/C03; Dp=po10%; 6H-SiC: 8/C21016 cm/C03opo1:21017 cm/C03; Dp=po25%). r 2002 Elsevier Science B.V. All rights reserved.",aluminum-doped silicon carbide
Superconductivity near 30 K without copper: the Ba 0 _6Ko.4BiO 3 perovskite,"Owing to the expected volatility of alkali oxides, we decided to investigate the Ba-K-Bi -O phase diagram using sealed silver tubes. Starting materials were BaO, KO 2, and Bi2O 3, and the reactions were carried out at 675 °C for 3 days. Materials produced by this technique allowed us to identify the perovskite-structure compound as the bulk superconductor in this chemical system. When the starting materials are mixed in the stoichiometric perovskite ratios, Ba 1 _ _ ,K .. BiO 3, only a few per cent superconductivity is observed, even in materials which appear to be single phase by X-ray diffraction. The amount of superconductivity observed increases dramatically when excess alkali is employed in the starting mixture. Further, the as-synthesized materials are not superconducting, but require a low-temperature anneal in oxygen to optimize the superconducting properties. Exploring this multi-dimensional parameter field led us to the following preliminary optimal conditions: single-phase perovskite of stoichiometry Ba0_6 Ko.48iO3 _ 8 is prepared by adding 100% excess KO 2, in 2-g batches, heated at 675 °C for 3 days, in 0.25-in. diameter sealed silver tubes, 6 in long, and sealed in turn in evacuated quartz tubes. The material removed from the tubes is dark red or brown in colour. It is ground and then annealed in flowing oxygen at 475 °C for 45 min, and quickly (<5 min) cooled in the oxygen flow. The resulting powder has a deep blue-black colour. It is then pressed into pellets for measurement. Oxygen anneals at higher temperatures or longer times result in the loss of potassium from the (Ba,K)BiO 3 _ 8 compound.",Ba 0_6K0.4BiO 3
Bulk Superconductivity at 91 K in Single-Phase Oxygen-Deficient Perovskite Ba2YCu309 — b,"Single-phase Ba2YCu309 — b was prepared by our mixing BaCO3, Y203, and CuO, grinding, and heating at 950 C in air for 1 d. This material was then pressed into pellets, sintered in flowing 02 for 16 h, and then cooled to 200 C in 02 before removal from the furnace. Additional overnight treatment in 02 at 700 'C was found to improve the observed properties. The oxygen content for this material was determined by our heating a sample in H2 at 900 C for 2 h and measuring the weight loss on reduction to Cu metal and BajY oxides, yielding the value 6=2.1+ 0.05.",Ba2YCu309 — b
Bulk Superconductivity at 36 K in Lat gSro 2Cu04,"La2 „Sr„Cu04 compounds were prepared from the appropriate mixtures of high-purity La(OH)3, SrCO3, and CuO powders, heated for several days in air at 1000'C in quartz crucibles, with several intermediate grindings. For x =0.1 and 0.2, single-phase tetragonal K2NiF4-type material was obtained with lattice parameters of approximately an=3.78 A and en=13.23 A as determined by powder x-ray diffraction. For the x =0.3 material there was an increase in co from x =0.2, but an extra diffraction peak on the order of 2%-3% of the maximum major-phase intensity was observed, suggesting that the limiting stoichiometry of the K2NiF4-type phase prepared in air at 1000'C is just below x =0.3. The powders were pressed into pellets and annealed at 1100'C for 6 h in air, and cooled to room temperature by removing them from the furnace while at the annealing temperature. Portions of the sintered pellets were used for resistivity and susceptibility measurements, and portions were annealed in flowing 02 at 900 C for 1 day, cooled to room temperature in the 02 flow, and characterized to determine the effects of the annealing atmosphere on the observed properties.",La2-xSrxCuO4
A topological Dirac insulator in a quantum spin Hall phase,,Bi0.9Sb0.1
Observation of a large-gap topological-insulator class with a single Dirac cone on the surface,"Single crystals of Bi2Se3 were grown by melting stoichiometric mixtures of high-purity elemental Bi and Se in a 4-mm-inner-diameter quartz tube. The sample was cooled over a period of two days, from 850 to 650 °C, and then annealed at this temperature for a week. Single crystals were obtained and could be easily cleaved from the boule.",Bi2Se3
Extreme sensitivity of superconductivity to stoichiometry in Fe1+/H9254Se,"Except for “Fe 1.06Se” /H20849see below/H20850, all samples were prepared from iron pieces /H20849Johnson-Matthey, 99.98%/H20850and selenium shot /H20849Alfa-Aesar, 99.999%/H20850. Stoichiometric quantities of freshly polished iron and selenium shot were loaded into cleaned and dried silica tubes and sealed under vacuum with a piece of cleaned carbon inside/H20849but not in physical contact with the sample/H20850. These tubes were sealed in a second evacuated silica ampoule and placed in a furnace at 750 °C. The temperature was held constant until the Se vapor had disappeared/H208493–5 days/H20850and then increased to 1075 °C for 3 days, followed by a fast decrease to 420 °C. This temperature was held for 2 days before the tubes were quenched in −13 °C brine. Small pieces were then loaded into small silica ampoules and annealed at various temperatures/H20849300–500 °C /H20850 for 2 days followed by quenching in −13 °C brine. Fast quenching was required for reproducible behavior. All samples are stable for short periods of time in air but were protected from oxidation in air by storage in an argon glove box.",FeSe
Variation of transition temperatures and residual resistivity ratio in vapor-grown FeSe,"Single crystals of FeSe were prepared by a chemical vapor transport technique using elemental Fe and Se and a eutectic mix of the chlorine salts, KCl and AlCl3 (molar ratio 1:2), in a constant temperature gradient. The furnace was tilted at an angle of ∼15°–20° to enhance convection (see Fig. 1). The Fe:Se ratio, the temperature conditions, and the amount of starting materials were varied. A total of more than 20 batches were studied. Powder x-ray diffraction was performed using a Rigaku Miniflex II diffractometer with Cu Kα radiation. The compositions of crystals from three batches were determined using wavelength dispersive x-ray spectroscopy (WDS). Magnetization was measured using a Quantum Design MPMS SQUID in a field of 20 Oe under zero-field cooled conditions and with arbitrary orientation of the often very small single crystals. Multiple pieces were checked for each batch. Electrical resistance was measured using a LR-700 resistance bridge, and contacts were made with silver epoxy and silver paint.",FeSe
Large thermal Hall effect in α-RuCl3: Evidence for heat transport by Kitaev-Heisenberg paramagnons,,α-RuCl3
Thermal transportpropertiesof YBa2Cu30q superconductors,"Samples of 12 x 2 x 1 mm were cut from a disk of YBa2Cu307 prepared according to standard recipes, and x-ray measurements confirm its single-phase structure.",YBa2Cu307
Description of Resonant Inelastic X-Ray Scattering in Correlated Metals,"To fully capitalize on the potential and versatility of resonant inelastic x-ray scattering (RIXS), it is essential to develop the capability to interpret different RIXS contributions through calculations, including the dependence on momentum transfer, from first principles for correlated materials. Toward that objective, we present new methodology for calculating the full RIXS response of a correlated metal in an unbiased fashion. Through comparison of measurements and calculations that tune the incident photon energy over a wide portion of the FeL3 absorption resonance of the benchmark material BaFe2As2, we show that the RIXS response in BaFe2As2 is dominated by the direct-channel contribution, including the Raman-like response below threshold. Calculations are initially performed within the first-principles Bethe-Salpeter equation (BSE) framework, which we then significantly improve by invoking a quasiboson model to describe the secondary excitations within the intermediate state. This enhancement allows the many-electron RIXS signal to be approximated as a convolution of BSE-calculated spectra with effective spectral functions. We construct these spectral functions, also from first principles, by employing the cumulant expansion of the Green’s function and performing a real-time time-dependent density functional theory calculation of the response of the electronic system to the perturbation of the intermediate-state excitation. Importantly, this process allows us to evaluate the indirect RIXS response from first principles, accounting for the full periodicity of the crystal structure and with full dependence on the momentum transfer.",BaFe2As2
Singularities in X-Ray Spectra of M,,
